SMILES,logS
N#CN=C1NCCN1CC1=CN=C(Cl)C=C1,-2.63
CN(C)C(=O)C1=CC=C(Cl)C=C1,-1.0
CN(C)C(=O)NC1=CC=C(Cl)C=C1,-2.89
OC(=O)c1nc(Cl)ccc1Cl,-1.3884
CC(=O)CCc1ccc(O)cc1,-1.5520409413
C([C@H](c1ccccn1)c1ccc(cc1)Cl)CN(C)C,-2.67
CON(C)C(=O)NC1=CC=C(Cl)C=C1,-2.47
COc1ccc(COC(C)=O)cc1,-2.4740066421
Fc1cc(Cl)ccc1CC#N,-2.5939062498
CC(C)c1ccc(cc1)C#N,-2.9887953027
CCc1ccc(C)nc1,-1.0042604536
[O-][N+](=O)NC1=NCCN1Cc2ccc(Cl)nc2,-2.6223
CC(=O)Nc1ccccc1Cl,-1.4001
CC(C#C)N(C)C(=O)Nc1ccc(Cl)cc1,-3.8971
CNC(=S)N(C)C1=C(C)C=C(Cl)C=C1,-3.66
ClC1=CC=C(NN=C(C#N)C#N)C=C1,-4.36
CN(C)C(=O)Nc1ccc(Cl)c(Cl)c1,-3.7443
CN(C)Cc1ccccc1,-1.2279188258
CCC(=O)c1cccc(Cl)c1,-1.8467055699
OCc1ccc(Cl)cc1,-1.7561
COc1cc(CC=C)ccc1OC(C)=O,-2.7015911491000004
CCc1ccc(CC(C)(C)C#N)cc1,-3.3513392636000003
CC(=O)Oc1ccc(cc1)C#N,-1.7990172934
CN(C)C(=O)Nc1ccc(C)c(Cl)c1,-3.4826
CCO[P](=S)(OCC)O/N=C(C#N)/c1ccccc1Cl,-5.2917
Cc1cnc2c(ccc(Cl)c2C(O)=O)c1,-2.9973
CN(C)Cc1ccccc1Cl,-1.8493554218
CCN(CC)C(=O)CSc1ccc(Cl)nn1,-1.7156
O=C(Nc(ccc(c1)Cl)c1)C,-2.84
Clc1cccc(Cl)c1C#N,-3.9803
Clc1ccc(cc1)C#N,-2.749354496
CON(C)C(=O)Nc1ccc(Cl)c(Cl)c1,-3.5213
OCc1ccc(Cl)c(Cl)c1,-2.0439
CN(C(C)=O)c1ccccc1,-0.951
Cc1ccc(C)nc1,-0.03
CCCCN(C)C(=O)Nc1ccc(Cl)c(Cl)c1,-4.7584
c1cc(CC)ccc1CC,-3.75
CNC(=O)OCc1ccc(Cl)c(Cl)c1,-3.1389
CC(=O)Nc1ccc(Cl)cc1C,-2.3097
CN(C)C=NC1=C(C)C=C(Cl)C=C1,-2.88
COC(=O)C(Cl)Cc1ccc(Cl)cc1,-3.7655
CCN(Cc1ccc(Cl)nc1)\C(NC)=C\[N+]([O-])=O,0.4918
Clc1ccccc1C(=O)CC#N,-2.1751395948
CCC1=CC=C(C=C1)C(O)=O,-2.52
CN(Cc1ccccc1)N=O,-1.5224
COC1=CC=C(CN(CCN(C)C)C2=NC=CC=N2)C=C1,-2.99
