,logS,SMILES
2543,-2.1751395948,Clc1ccccc1C(=O)CC#N
3928,-2.0628,CC(=C)C1CC=C(C)C(=O)C1
8789,-3.4,CN(C)CCC=C2c1ccccc1COc3ccccc23
5775,-1.6111,CC(=O)C(CC(O)=O)=Cc1ccccc1
3248,0.3165863989999999,[Na+].[Na+].Nc1ccc(NNC2=C3C(=O)C=C(C=C3C=CC2=N)[S]([O-])(=O)=O)c(c1)[S]([O-])(=O)=O
1777,2.1376816201,CC(C)CC1CC(C)(O)CCO1
311,-3.4657606101,CC1(C)C2CC=C(CCC=O)C1C2
9273,-1.23,O=C(O)CSC(C(=O)O)C1=CC=CC=C1
3190,1.0599918174,COC1COC2C(COC12)OC
4246,-2.541,Fc1ccccc1CCl
7211,-0.82,OC(=O)CCCCC(O)=O
7816,-1.85,N[C]12C[CH]3[CH2]C([CH2][CH](C3)C1)C2
8786,-3.25,O=C(Nc(ccc(c1)I)c1)C
3181,-0.5467680909,CC(C)OC(C)=O
6085,-3.2855,Cc1cccc(C)c1N(C2CCOC2=O)C(=O)CCl
2779,-2.040520296,CCOC(OCC)OCC
4342,0.9757,Nc1ccccn1
1847,-2.3570247849,Oc1ccc(cc1)[S](=O)(=O)c2ccc(O)cc2
1468,-5.716458279299999,O=C(Nc1cccc2C(=O)c3ccccc3C(=O)c12)c4ccc(cc4)c5ccc(cc5)N=Nc6ccc(cc6)c7ccc(cc7)C(=O)Nc8cccc9C(=O)c%10ccccc%10C(=O)c89
7936,-2.31,NC1=NC2=C(C=NC=N2)N=C1
6757,-1.4372,Cc1occc1
4517,0.3612,OC(=O)C\C(=C/C(O)=O)C(O)=O
6848,-7.9032,Clc1ccc(Cl)c(c1Cl)c2c(Cl)ccc(Cl)c2Cl
3569,-7.9911025111,COc1ccc(N\N=C2/C(=O)C=Cc3ccccc23)c(c1)[N+]([O-])=O
8072,-3.58,CCC1(C(=O)NC(=S)NC1=O)C2=CC=CC=C2
2189,0.7036319098,CCN(O)CC
817,-4.9372094561,[O-][N+](=O)c1ccccc1c2ccc(Cl)cc2
451,-2.6613195143,COc1ccc(cc1[N+]([O-])=O)C(O)=O
9139,-1.46,COC1=CC=C2C=C(CCC(C)=O)C=CC2=C1
2908,-2.8068769998,CCCCOCOCCCC
6276,-5.8487,C[C@H]1C(SC(=O)N1C(=O)NC2CCCCC2)c3ccc(Cl)cc3
1927,1.5784906741,CO[P](=O)(CCC(=O)NCO)OC
5228,-2.7910000000000004,OC(=O)c1ccccc1CC(=O)c2ccccc2C(O)=O
5159,-2.7939,OC(=O)C1=CCCc2ccccc12
2470,-1.6731198028999998,O=COCc1ccccc1
5512,-1.5141,O=C1Nc2cncnc2N1
2980,-3.9963835519,CC(C)(c1ccc(O)c(CC=C)c1)c2ccc(O)c(CC=C)c2
4465,1.1303,OCC1CO1
6774,-2.2809,Oc1ccc2ccccc2c1
2668,0.7452125491,COC1OC(CO)C(O)C(O)C1O
